# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	211804
#@/user_id	linux
a 	啊	c=456 d=1.87061 t=211804
ai de meng 	愛德蒙	c=1 d=0.00440507 t=211804
ai er 	埃爾	c=1 d=3.2795e-61 t=211804
ai er lan 	愛爾蘭	c=1 d=1 t=181066
ai guo 	愛國	c=2 d=1.07769 t=185108
ai guo zhu yi 	愛國主義	c=7 d=2.09373e-17 t=211804
ai hao 	愛好	c=19 d=0.0163261 t=211804
ai hao zhe 	愛好者	c=6 d=0.000272608 t=211804
ai ji 	埃及	c=1 d=1.72843e-26 t=211804
ai kai wan xiao 	愛開玩笑	c=1 d=2.46295e-16 t=211804
ai ma 	捱罵	c=1 d=2.24318e-34 t=211804
ai qing 	愛情	c=13 d=0.88692 t=211804
ai qiu 	哀求	c=1 d=3.97693e-06 t=211804
ai sha ni ya 	愛沙尼亞	c=1 d=1.75216e-10 t=211804
ai shang 	愛上	c=1 d=2.65704e-26 t=211804
ai sheng quan 	艾生權	c=4 d=2.54583e-23 t=211804
ai wan 	哀婉	c=1 d=1 t=196923
ai xiao 	愛校	c=1 d=1 t=185110
ai xin zao can 	愛心早餐	c=1 d=0.00245409 t=211804
ai ya 	哎呀	c=2 d=0.00139481 t=211804
ai yu 	礙於	c=1 d=1 t=209161
ai zi 	矮子	c=1 d=0.000103597 t=211804
ai zi ji 	愛自己	c=1 d=0.293758 t=211804
an 	俺	c=1 d=1 t=159631
an 	安	c=4 d=2.0923e-10 t=211804
an 	按	c=44 d=0.00466538 t=211804
an 	暗	c=2 d=3.2938e-24 t=211804
an 	案	c=1 d=1.21738e-20 t=211804
an an jing jing 	安安靜靜	c=1 d=0.00047843 t=211804
an bang 	安邦	c=1 d=3.26103e-24 t=211804
an dan 	黯淡	c=2 d=4.84654e-09 t=211804
an dao 	暗道	c=1 d=1 t=197534
an de 	安得	c=0 d=0.1 t=174199
an de lie 	安德烈	c=1 d=2.81885e-45 t=211804
an de yi tian 	安得倚天	c=1 d=1 t=174200
an ding 	安定	c=3 d=2.26618e-07 t=211804
an fa shi 	案發時	c=0 d=1.45975e-10 t=211804
an fa shi de 	案發時的	c=1 d=1.46707e-09 t=211804
an fen dian 	安分點	c=1 d=1.09191e-05 t=211804
an fen shou ji 	安分守己	c=1 d=6.55441e-31 t=211804
an fu 	安撫	c=1 d=1.03471e-19 t=211804
an ge 	安哥	c=1 d=2.65568e-20 t=211804
an hang 	按行	c=2 d=1.01699e-39 t=211804
an hao 	暗號	c=1 d=5.34789e-20 t=211804
an jia 	安家	c=1 d=1 t=197999
an jian 	按鍵	c=2 d=5.08759e-13 t=211804
an jian 	案件	c=1 d=1 t=206712
an jing 	安靜	c=1 d=6.55664e-35 t=211804
an kang 	安康	c=0 d=1.4437e-27 t=211804
an le 	暗了	c=1 d=0.000122182 t=211804
an lei bie 	按類別	c=1 d=2.72671e-07 t=211804
an li 	案例	c=8 d=6.82793e-12 t=211804
an li shuo 	按理說	c=4 d=0.00535353 t=211804
an lie 	按列	c=2 d=1.13942e-35 t=211804
an men 	暗門	c=1 d=8.76723e-12 t=211804
an mian 	安眠	c=1 d=1.21606e-66 t=211804
an mian 	暗面	c=1 d=1 t=177495
an mian yao 	安眠藥	c=1 d=1.19759e-33 t=211804
an mo 	按摩	c=1 d=2.61979e-07 t=211804
an mo zui xiao 	按模最小	c=1 d=1.20195e-17 t=211804
an na bu zhu 	按捺不住	c=1 d=1 t=176358
an nai bu zhu 	按耐不住	c=2 d=1.58225e-37 t=211804
an ni 	安妮	c=0 d=0.0814647 t=211804
an ni ji 	安妮記	c=1 d=0.818731 t=211804
an niu 	按鈕	c=40 d=1.65394 t=211804
an pai 	安排	c=110 d=0.498605 t=211804
an pai le yi xia 	安排了一下	c=1 d=1 t=166091
an ping 	安平	c=5 d=1.99501 t=171981
an quan 	安全	c=30 d=0.0263512 t=211804
an quan fang mian 	安全方面	c=1 d=2.28935e-09 t=211804
an quan feng xian 	安全風險	c=1 d=4.47697e-17 t=211804
an quan qu 	安全區	c=1 d=8.39886e-07 t=211804
an quan xing 	安全性	c=2 d=9.64261e-14 t=211804
an sha 	暗殺	c=1 d=1.1808e-14 t=211804
an shao fang 	安紹芳	c=1 d=1.46802e-46 t=211804
an shi 	按時	c=2 d=1.55129e-48 t=211804
an shi 	暗室	c=1 d=0.000132358 t=211804
an shi 	暗示	c=4 d=5.35444e-05 t=211804
an shi ta 	暗示他	c=1 d=3.81567e-19 t=211804
an shu 	桉樹	c=2 d=3.34653e-05 t=211804
an shun xu 	按順序	c=1 d=1.04134e-06 t=211804
an wei 	安慰	c=2 d=0.00154526 t=211804
an xia 	按下	c=4 d=0.000251014 t=211804
an xian 	暗線	c=1 d=0.0424257 t=211804
an xiang 	安享	c=1 d=1.79989e-32 t=211804
an xiang 	安詳	c=1 d=3.29829e-40 t=211804
an xiang 	暗想	c=1 d=1 t=197539
an xiang wan nian 	安享晚年	c=1 d=4.74719e-30 t=211804
an xin 	安心	c=3 d=5.7158e-38 t=211804
an xu 	按需	c=4 d=1.23729e-05 t=211804
an yao qiu 	按要求	c=1 d=1 t=180542
an ying 	暗影	c=2 d=1 t=182661
an yu 	安於	c=1 d=1 t=157883
an zang 	安葬	c=1 d=1 t=211582
an zao 	按早	c=1 d=1.24994e-07 t=211804
an zhao 	按照	c=187 d=0.389027 t=211804
an zhi 	暗指	c=1 d=1 t=186664
an zhong 	暗中	c=8 d=0.0605392 t=211804
an zhong guan cha 	暗中觀察	c=1 d=4.83552e-41 t=211804
an zhuang 	安裝	c=30 d=0.0263404 t=211804
an zhuang zhuang tai 	安裝狀態	c=1 d=0.00932553 t=211804
an zhuo 	安卓	c=11 d=9.30778e-10 t=211804
an zi shu 	按字數	c=1 d=1.30632e-26 t=211804
ang 	卬	c=2 d=7.08703e-09 t=211804
ao 	凹	c=1 d=3.9768e-35 t=211804
ao 	澳	c=3 d=2.08187e-10 t=211804
ao chu 	傲初	c=3 d=2.15371 t=162786
ao da li ya 	澳大利亞	c=1 d=1 t=170078
ao de 	凹的	c=1 d=1 t=187974
ao de sai 	奧德賽	c=1 d=2.23123e-30 t=211804
ao kou 	拗口	c=1 d=0.000151489 t=211804
ao lin pi ke 	奧林匹克	c=2 d=3.52402e-42 t=211804
ao men 	澳門	c=3 d=0.0134423 t=211804
ao mi 	奧祕	c=5 d=0.250324 t=211804
ao rui te 	澳瑞特	c=1 d=4.14911e-34 t=211804
ao wo 	奧沃	c=19 d=0.814404 t=211804
ao ye 	熬夜	c=3 d=0.118245 t=211804
ao ying feng 	傲迎鋒	c=5 d=1.64989 t=211804
ao you 	遨遊	c=1 d=0.0120946 t=211804
ao yun hui 	奧運會	c=1 d=2.27793e-09 t=211804
ba 	八	c=14 d=0.272532 t=211804
ba 	吧	c=694 d=3.24804 t=211804
ba 	壩	c=0 d=1.46757e-14 t=211804
ba 	把	c=314 d=1.11954 t=211804
ba 	爸	c=3 d=0.000724521 t=211804
ba 	罷	c=3 d=0.0824965 t=211804
ba ba 	爸爸	c=1 d=1.08159e-11 t=211804
ba bei zi 	八輩子	c=1 d=1.16243e-06 t=211804
ba bie ta 	巴別塔	c=13 d=2.18312 t=186607
ba bie ta nei 	巴別塔內	c=1 d=1 t=186243
ba bu de 	巴不得	c=1 d=1 t=180669
ba chu 	拔出	c=1 d=6.57606e-11 t=211804
ba chu 	罷黜	c=1 d=0.0347353 t=211804
ba ci 	八次	c=1 d=0.1 t=187897
ba ci wei ji 	八次危機	c=2 d=1.02317 t=188651
ba dian 	八點	c=1 d=7.80235e-52 t=211804
ba dian ban 	八點半	c=2 d=3.14181e-27 t=211804
ba dong xi 	把東西	c=1 d=1.65609e-23 t=211804
ba du 	八度	c=2 d=8.6653e-30 t=211804
ba dun 	巴頓	c=1 d=1 t=207948
ba ge 	八個	c=2 d=2.90875e-32 t=211804
ba gong 	罷工	c=1 d=1 t=186717
ba gua 	八卦	c=2 d=1.31573e-14 t=211804
ba guan 	罷官	c=1 d=1 t=167807
ba ha mu te 	巴哈姆特	c=1 d=1.24413e-11 t=211804
ba hen 	疤痕	c=3 d=0.135245 t=211804
ba jian 	霸劍	c=6 d=0.000498005 t=211804
ba jiao 	芭蕉	c=3 d=4.41135e-12 t=211804
ba kong 	把控	c=1 d=1 t=175842
ba kou 	八口	c=1 d=0.251579 t=211804
ba le 	罷了	c=2 d=1.00239e-28 t=211804
ba li 	巴黎	c=1 d=0.138761 t=211804
ba li gong she 	巴黎公社	c=1 d=1 t=167812
ba ling 	霸凌	c=2 d=2.00364e-29 t=211804
ba mian 	八面	c=0 d=2.2263e-05 t=211804
ba mian lang ji 	八面狼姬	c=3 d=1.48382 t=211804
ba miao zhu zhang 	拔苗助長	c=1 d=1 t=177023
ba ni 	把你	c=3 d=1.10841e-05 t=211804
ba nian 	八年	c=1 d=0.00995182 t=211804
ba qi 	八七	c=2 d=1.82696 t=172166
ba quan 	霸權	c=0 d=0.1 t=196682
ba shi 	八十	c=2 d=2.08797e-14 t=211804
ba shi 	巴士	c=0 d=1.37783e-07 t=211804
ba shi ye 	把視野	c=1 d=1.92678e-10 t=211804
ba shou 	把守	c=1 d=4.68144e-13 t=211804
ba shou 	罷手	c=1 d=1 t=185610
ba ta 	把他	c=1 d=0.0550232 t=211804
ba ta 	把它	c=4 d=5.5739e-07 t=211804
ba ta men 	把它們	c=1 d=2.87344e-06 t=211804
ba tai 	吧檯	c=3 d=8.63134e-11 t=211804
ba ti ya 	芭提雅	c=1 d=2.86749e-11 t=211804
ba wei 	八位	c=2 d=3.64997e-06 t=211804
ba wo 	把我	c=2 d=1.84137e-06 t=211804
ba wo 	把握	c=9 d=0.000193545 t=211804
ba wo men 	把我們	c=1 d=1.58187e-13 t=211804
ba xiao shi 	八小時	c=1 d=1 t=168696
ba yue 	八月	c=1 d=8.8641e-53 t=211804
ba yun zi 	八雲紫	c=1 d=0.860708 t=211804
ba zhou 	八週	c=1 d=1.24028e-05 t=211804
ba zi 	八字	c=0 d=2.62239e-49 t=211804
ba zi ban 	八字班	c=10 d=0.00729913 t=211804
bai 	拜	c=1 d=0.0338776 t=211804
bai 	擺	c=0 d=2.57457e-09 t=211804
bai 	敗	c=1 d=1 t=182460
bai 	白	c=3 d=0.00337959 t=211804
bai 	百	c=2 d=0.00132016 t=211804
bai bai 	拜拜	c=1 d=7.14585e-18 t=211804
bai ban 	白板	c=5 d=1 t=177246
bai ban bi 	白板筆	c=2 d=1 t=181374
bai bi 	敗筆	c=1 d=0.000572785 t=211804
bai cai 	白菜	c=1 d=1 t=198819
bai chi 	白熾	c=1 d=1.91021e-26 t=211804
bai dao 	拜倒	c=1 d=1 t=180810
bai di 	白底	c=2 d=0.0116203 t=211804
bai du 	拜讀	c=2 d=1.06618e-48 t=211804
bai du 	擺渡	c=1 d=0.852144 t=211804
bai du 	百度	c=5 d=1.26926e-11 t=211804
bai du tie ba 	百度貼吧	c=2 d=2.33839e-11 t=211804
bai fa mo nv 	白髮魔女	c=1 d=1.4306e-07 t=211804
bai fang 	拜訪	c=3 d=2.59461e-11 t=211804
bai ge 	白鴿	c=1 d=0.631284 t=211804
bai gei 	白給	c=1 d=1.40854e-30 t=211804
bai guan ye shi 	稗官野史	c=1 d=3.70404e-52 t=211804
bai he 	白河	c=3 d=0.000387808 t=211804
bai huai 	敗壞	c=2 d=1.80654 t=208216
bai jia 	百家	c=0 d=3.70996e-13 t=211804
bai jia hao 	百家號	c=1 d=3.72856e-12 t=211804
bai jian 	敗劍	c=1 d=0.214381 t=211804
bai jin 	白金	c=2 d=8.60691e-51 t=211804
bai jin zhu yi 	拜金主義	c=1 d=7.10537e-10 t=211804
bai ke quan shu 	百科全書	c=2 d=2.13539e-37 t=211804
bai ling hai xia 	白令海峽	c=2 d=0.0619181 t=211804
bai long 	白龍	c=1 d=1.40227e-07 t=211804
bai mao 	白貓	c=1 d=1 t=173190
bai mao nv 	白毛女	c=1 d=5.32122e-20 t=211804
bai mei 	白眉	c=1 d=0.045502 t=211804
bai miao 	白描	c=2 d=1.02563e-33 t=211804
bai nian 	百年	c=6 d=1.58839e-33 t=211804
bai nian wei you 	百年未有	c=1 d=1.59636e-32 t=211804
bai niang zi 	白娘子	c=1 d=0.00477195 t=211804
bai pi shu 	白皮書	c=2 d=8.92077e-11 t=211804
bai re 	白熱	c=1 d=1.91978e-26 t=211804
bai ri 	白日	c=2 d=5.37361e-47 t=211804
bai se 	白色	c=1 d=0.188247 t=211804
bai she 	擺設	c=1 d=0.818731 t=211804
bai she 	白蛇	c=13 d=0.822835 t=211804
bai she zhi jia 	白蛇之家	c=13 d=4.81851e-12 t=211804
bai tao 	柏韜	c=31 d=0.017481 t=211804
bai tian 	白天	c=1 d=5.94198e-24 t=211804
bai tuan 	百團	c=1 d=1 t=168743
bai tuan da zhan 	百團大戰	c=1 d=1 t=174003
bai tuo 	擺脫	c=4 d=0.268474 t=211804
bai wan 	百萬	c=2 d=1 t=206366
bai wang 	敗亡	c=1 d=1 t=196351
bai wu 	拜物	c=1 d=1 t=191427
bai wu ya 	白烏鴉	c=2 d=4.55832e-13 t=211804
bai xian yong 	白先勇	c=3 d=0.069132 t=211804
bai xing 	百姓	c=1 d=5.98213e-15 t=211804
bai yang 	白陽	c=1 d=1.58047e-32 t=211804
bai yi 	百億	c=1 d=1 t=199075
bai yu 	白魚	c=1 d=3.8539e-48 t=211804
bai yu nian 	百餘年	c=1 d=1 t=192718
bai zai 	擺在	c=2 d=0.000157671 t=211804
bai zhan ting 	拜占庭	c=2 d=8.02802e-26 t=211804
bai zhe 	敗者	c=1 d=1.08983e-12 t=211804
bai zhi 	白紙	c=3 d=1.00001 t=176481
bai zhong 	擺鐘	c=1 d=5.53649e-16 t=211804
bai zi 	白字	c=0 d=0.000130703 t=211804
ban 	半	c=15 d=6.79156e-08 t=211804
ban 	扮	c=1 d=3.1494e-26 t=211804
ban 	搬	c=1 d=1.40974e-40 t=211804
ban 	板	c=2 d=0.179964 t=211804
ban 	版	c=26 d=0.88692 t=211804
ban 	班	c=33 d=0.0778145 t=211804
ban 	辦	c=23 d=1.93896e-05 t=211804
ban ben 	版本	c=71 d=0.889704 t=211804
ban ben er 	扳本兒	c=1 d=2.37703e-10 t=211804
ban ben guan li 	版本管理	c=2 d=8.43063e-22 t=211804
ban ben kong zhi 	版本控制	c=2 d=6.4037e-51 t=211804
ban ben yi 	版本一	c=1 d=0.0294518 t=211804
ban bu guo qu 	搬不過去	c=1 d=1 t=173349
ban che 	板車	c=2 d=1 t=173322
ban cheng pin 	半成品	c=2 d=0.307279 t=211804
ban chi 	半尺	c=0 d=0.00223708 t=211804
ban chi jian 	半尺劍	c=1 d=0.0224829 t=211804
ban chu lai 	搬出來	c=1 d=3.99687e-06 t=211804
ban da shi 	辦大事	c=2 d=7.13104e-23 t=211804
ban dao 	半島	c=1 d=1 t=190612
ban dao ti 	半導體	c=3 d=0.00283702 t=211804
ban deng 	板凳	c=0 d=1.09377e-26 t=211804
ban di 	半低	c=2 d=1 t=160947
ban diao zi 	半吊子	c=1 d=1 t=209289
ban fa 	辦法	c=34 d=0.0782481 t=211804
ban fan 	拌飯	c=2 d=1.9802 t=174021
ban gao 	半高	c=3 d=1.07208 t=160949
ban ge 	半個	c=1 d=1.35612e-26 t=211804
ban ge xiao shi 	半個小時	c=1 d=1 t=171798
ban ge xue qi 	半個學期	c=1 d=1.36292e-25 t=211804
ban ge yue 	半個月	c=0 d=2.05332e-24 t=211804
ban gong 	辦公	c=1 d=2.28849e-34 t=211804
ban gong hui 	辦公會	c=0 d=1.8576e-22 t=211804
ban gong hui si 	辦公會四	c=1 d=1.86691e-21 t=211804
ban gong lou 	辦公樓	c=1 d=1 t=184246
ban gong shi 	辦公室	c=14 d=3.70622e-21 t=211804
ban hui 	搬回	c=1 d=1 t=174739
ban hui 	班會	c=1 d=3.79277e-07 t=211804
ban huo dong 	辦活動	c=1 d=1 t=175201
ban ji 	板極	c=2 d=1.50467e-05 t=211804
ban ji 	班級	c=12 d=0.000937961 t=211804
ban ji li 	班級裏	c=1 d=1 t=170660
ban jia 	搬家	c=1 d=0.00637737 t=211804
ban jiang 	頒獎	c=4 d=1.9802 t=176556
ban jing 	半徑	c=6 d=0.0668703 t=211804
ban ka 	辦卡	c=1 d=1.56283e-47 t=211804
ban ke pan ding 	半可判定	c=1 d=1 t=200508
ban kuai 	斑塊	c=1 d=8.76368e-66 t=211804
ban kuai 	板塊	c=2 d=1.06513e-07 t=211804
ban le 	搬了	c=0 d=3.7363e-08 t=211804
ban le guo lai 	搬了過來	c=2 d=0.00265885 t=211804
ban li 	班裏	c=1 d=8.82168e-26 t=211804
ban li 	辦理	c=1 d=1.15063e-33 t=211804
ban lv 	伴侶	c=4 d=1 t=209875
ban men nong fu 	班門弄斧	c=1 d=0.0689068 t=211804
ban nian 	半年	c=3 d=0.000488095 t=211804
ban pian 	半篇	c=1 d=1 t=176214
ban qi 	辦起	c=0 d=2.80393e-13 t=211804
ban qi lai 	搬起來	c=1 d=2.80393e-12 t=211804
ban qi lai 	辦起來	c=1 d=2.81798e-12 t=211804
ban qian 	搬遷	c=2 d=1.00003 t=184814
ban qiu 	半球	c=1 d=1 t=185275
ban quan 	版權	c=1 d=3.95844e-10 t=211804
ban quan suo you 	版權所有	c=1 d=1.25075e-44 t=211804
ban qun 	半羣	c=2 d=1.99501 t=200496
ban shi chu 	辦事處	c=1 d=0.00640933 t=211804
ban shi shi 	辦實事	c=0 d=1.65069e-15 t=211804
ban shou li 	伴手禮	c=1 d=5.85831e-63 t=211804
ban shuang gong 	半雙工	c=0 d=3.1401e-51 t=211804
ban shuang gong xi tong 	半雙工系統	c=1 d=3.15584e-50 t=211804
ban sui 	伴隨	c=1 d=0.149787 t=185898
ban sui de 	伴隨的	c=1 d=1 t=185899
ban sui zhe 	伴隨着	c=3 d=0.687289 t=211804
ban tian 	半天	c=4 d=1.06513e-07 t=211804
ban tou ming 	半透明	c=1 d=7.59806e-34 t=211804
ban tu 	半途	c=1 d=1 t=203392
ban tuan 	班團	c=1 d=1.42856e-49 t=211804
ban tuo fei 	半駝廢	c=18 d=5.20334 t=211804
ban wei 	班委	c=0 d=0.1 t=165024
ban xiang 	扮相	c=1 d=0.031273 t=211804
ban xiao shi 	半小時	c=1 d=1.61437e-17 t=211804
ban xue qi 	半學期	c=1 d=6.6293e-47 t=211804
ban yan 	扮演	c=2 d=1.7458e-26 t=211804
ban ye 	半夜	c=1 d=0.0126512 t=211804
ban yi chang 	辦一場	c=1 d=1 t=166213
ban yuan yin 	半元音	c=2 d=2.63293e-07 t=211804
ban yun 	搬運	c=1 d=1 t=171082
ban zhang 	班長	c=0 d=0.1 t=164960
ban zhang zhi shu 	班長支書	c=1 d=1 t=164961
ban zheng 	辦證	c=3 d=1.03668e-12 t=211804
ban zheng ding 	半正定	c=3 d=2.93872e-74 t=211804
ban zheng ding xing 	半正定性	c=1 d=1.60207e-74 t=211804
ban zhou chang 	半週長	c=1 d=2.19838e-32 t=211804
ban zi 	半子	c=2 d=1 t=195391
ban zi 	板子	c=3 d=5.0249e-28 t=211804
ban zou 	伴奏	c=0 d=0.00314298 t=211804
bang 	幫	c=8 d=1.65408e-14 t=211804
bang 	棒	c=1 d=1 t=195098
bang 	邦	c=1 d=0.013912 t=211804
bang dao 	幫到	c=0 d=8.91005e-56 t=211804
bang dao ni 	幫到你	c=1 d=8.95471e-55 t=211804
bang ding 	綁定	c=21 d=0.0297484 t=211804
bang ding bian liang 	綁定變量	c=1 d=2.00194e-19 t=211804
bang ding dao 	綁定到	c=1 d=4.24027e-25 t=211804
bang e duo 	幫訛奪	c=1 d=0.100246 t=173459
bang e duo xiao shi 	幫訛奪校史	c=1 d=1 t=173460
bang ge mang 	幫個忙	c=1 d=1 t=168852
bang guan zhu 	幫關注	c=1 d=8.14344e-26 t=211804
bang le 	綁了	c=2 d=1.95196e-15 t=211804
bang lei 	棒壘	c=1 d=1 t=157110
bang mang 	幫忙	c=10 d=1.85642 t=181877
bang ni 	幫你	c=4 d=0.000376347 t=211804
bang ni men 	幫你們	c=2 d=1.41729e-44 t=211804
bang pai 	幫派	c=2 d=0.0850771 t=211804
bang qiu 	棒球	c=17 d=0.076923 t=211804
bang qiu chang 	棒球場	c=1 d=2.03427e-31 t=211804
bang qiu dui 	棒球隊	c=4 d=0.00327971 t=211804
bang qiu sai 	棒球賽	c=1 d=2.1279e-31 t=211804
bang qiu xun lian 	棒球訓練	c=1 d=5.64816e-45 t=211804
bang ren 	幫人	c=1 d=1 t=158609
bang ta 	幫他	c=1 d=6.10194e-13 t=211804
bang wan 	傍晚	c=1 d=0.000105163 t=211804
bang wo 	幫我	c=10 d=0.0909016 t=211804
bang wo men 	幫我們	c=1 d=5.46894e-48 t=211804
bang yan 	邦彥	c=1 d=2.20093e-75 t=211804
bang yang 	榜樣	c=2 d=1.92312 t=187315
bang zhe 	幫着	c=1 d=1 t=184427
bang zhu 	幫助	c=42 d=0.251579 t=211804
bang zhu wen dang 	幫助文檔	c=2 d=0.0071546 t=211804
bang zhu wo 	幫助我	c=2 d=2.22131e-07 t=211804
bang zhu xi tong 	幫助系統	c=1 d=6.99341e-29 t=211804
bao 	保	c=3 d=2.80775e-28 t=211804
bao 	包	c=42 d=0.57695 t=211804
bao 	報	c=32 d=0.0740995 t=211804
bao 	寶	c=7 d=1.70368 t=190152
bao 	爆	c=1 d=0.00470091 t=211804
bao 	薄	c=1 d=1 t=199130
bao bao 	寶寶	c=3 d=1.72103e-05 t=211804
bao bei 	報備	c=1 d=1 t=168231
bao bei 	寶貝	c=1 d=1 t=168230
bao ben fan shi 	報本反始	c=2 d=1.9802 t=178321
bao biao 	保鏢	c=1 d=0.000407691 t=211804
bao biao 	報表	c=4 d=3.78509e-32 t=211804
bao bu liao 	報不了	c=1 d=1.47849e-12 t=211804
bao can shou que 	抱殘守缺	c=1 d=0.0347353 t=211804
bao chi 	保持	c=51 d=0.179091 t=211804
bao chi 	抱持	c=5 d=0.0528568 t=211804
bao chi zhe 	保持着	c=1 d=8.70811e-50 t=211804
bao cun 	保存	c=32 d=0.341301 t=211804
bao cuo 	報錯	c=7 d=0.790571 t=211804
bao dao 	報到	c=1 d=5.67182e-06 t=211804
bao dao 	報道	c=10 d=5.64353e-06 t=211804
bao dian 	寶典	c=0 d=1.33688e-05 t=211804
bao die 	暴跌	c=3 d=2.01067e-33 t=211804
bao dong 	暴動	c=1 d=1 t=210643
bao fa 	爆發	c=17 d=0.0682212 t=211804
bao fa chu 	爆發出	c=1 d=1 t=176014
bao fa hu 	暴發戶	c=1 d=8.9334e-27 t=211804
bao fa qian 	爆發前	c=1 d=1 t=182246
bao fan 	包飯	c=2 d=1.99501 t=174373
bao fu 	報復	c=1 d=1 t=183450
bao fu 	抱負	c=9 d=9.44684e-08 t=211804
bao gai 	寶蓋	c=1 d=1 t=206334
bao gao 	報告	c=116 d=0.929135 t=211804
bao gao li 	報告裏	c=1 d=5.20205e-77 t=211804
bao gao ting 	報告廳	c=1 d=4.98363e-43 t=211804
bao gao tuan 	報告團	c=0 d=0.1 t=191619
bao guan 	保管	c=1 d=0.0118551 t=211804
bao guan li 	包管理	c=5 d=0.00747887 t=211804
bao guan li qi 	包管理器	c=1 d=2.19652e-22 t=211804
bao guang 	曝光	c=2 d=1.00035 t=208176
bao gui 	寶貴	c=4 d=3.6541e-10 t=211804
bao guo 	報國	c=1 d=3.24476e-24 t=211804
bao han 	包含	c=39 d=0.914464 t=211804
bao han le 	包含了	c=4 d=0.108067 t=211804
bao he 	飽和	c=3 d=2.91281e-19 t=211804
bao he du 	飽和度	c=1 d=0.000422213 t=211804
bao hu 	保護	c=18 d=0.602102 t=211804
bao hu mo shi 	保護模式	c=5 d=2.98896e-55 t=211804
bao huan chong 	包緩衝	c=1 d=5.6842e-61 t=211804
bao huang pai 	保皇派	c=1 d=2.24516e-15 t=211804
bao jian 	寶劍	c=0 d=0.1 t=174200
bao jian 	寶鑑	c=1 d=8.4206e-08 t=211804
bao jiang 	包漿	c=1 d=6.13044e-09 t=211804
bao jun 	暴君	c=1 d=1 t=165860
bao kan 	報刊	c=1 d=1 t=182583
bao kuo 	包括	c=82 d=0.29671 t=211804
bao kuo le 	包括了	c=1 d=3.71249e-20 t=211804
bao kuo zai 	包括在	c=1 d=1.24113e-12 t=211804
bao kuo zai nei 	包括在內	c=1 d=2.80431e-43 t=211804
bao le 	報了	c=2 d=0.00405589 t=211804
bao li 	包裏	c=1 d=2.27282e-12 t=211804
bao li 	暴力	c=9 d=5.39661e-06 t=211804
bao li fen zi 	暴力分子	c=1 d=1.88081e-20 t=211804
bao lie 	暴烈	c=1 d=1 t=191067
bao lie 	爆裂	c=1 d=1 t=191066
bao liu 	保留	c=12 d=0.101266 t=211804
