# Rime user dictionary
#@/db_name	hzl_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	36939
#@/user_id	linusboyle
a 	啊	c=48 d=1.87061 t=36939
an le 	暗了	c=1 d=0.000122182 t=36939
an li shuo 	按理說	c=1 d=0.00535353 t=36939
an ni 	安妮	c=0 d=0.0814647 t=36939
an ni ji 	安妮記	c=1 d=0.818731 t=36939
an niu 	按鈕	c=32 d=1.65394 t=36939
an pai 	安排	c=7 d=0.00124951 t=36939
an quan 	安全	c=2 d=0.00663763 t=36939
an sheng 	安生	c=1 d=1 t=32304
an shi 	暗室	c=1 d=0.000132358 t=36939
an shi 	暗示	c=1 d=9.78334e-08 t=36939
an shun xu 	按順序	c=1 d=1.04134e-06 t=36939
an xia 	按下	c=1 d=0.000251014 t=36939
an xian 	暗線	c=1 d=0.0424257 t=36939
an zhao 	按照	c=18 d=0.389027 t=36939
an zhong 	暗中	c=3 d=0.0605392 t=36939
an zhuang 	安裝	c=11 d=0.0263404 t=36939
an zhuang bao 	安裝包	c=2 d=1 t=35361
an zhuang zhuang tai 	安裝狀態	c=1 d=0.00932553 t=36939
ang 	卬	c=1 d=7.08703e-09 t=36939
ao 	澳	c=0 d=2.08187e-10 t=36939
ao men 	澳門	c=2 d=0.0134423 t=36939
ao mi 	奧祕	c=1 d=1.25296e-06 t=36939
ao wo 	奧沃	c=19 d=0.814404 t=36939
ao ying feng 	傲迎鋒	c=5 d=1.64989 t=36939
ao you 	遨遊	c=1 d=0.0120946 t=36939
ao yun hui 	奧運會	c=1 d=2.27793e-09 t=36939
ba 	八	c=1 d=1 t=36156
ba 	吧	c=28 d=0.519473 t=36939
ba 	把	c=46 d=0.873697 t=36939
ba 	罷	c=2 d=0.0824965 t=36939
ba ba 	爸爸	c=1 d=1.08159e-11 t=36939
ba bei zi 	八輩子	c=1 d=1.16243e-06 t=36939
ba bian liang 	八變量	c=1 d=1 t=30429
ba chu 	拔出	c=1 d=6.57606e-11 t=36939
ba gua 	八卦	c=2 d=1.31573e-14 t=36939
ba ha mu te 	巴哈姆特	c=1 d=1.24413e-11 t=36939
ba hen 	疤痕	c=2 d=0.135245 t=36939
ba jiao 	芭蕉	c=2 d=4.41135e-12 t=36939
ba kou 	八口	c=1 d=0.251579 t=36939
ba mian 	八面	c=0 d=2.2263e-05 t=36939
ba mian lang ji 	八面狼姬	c=3 d=1.48382 t=36939
ba ni 	把你	c=2 d=1.10841e-05 t=36939
ba shan shu shui 	巴山蜀水	c=1 d=1 t=34674
ba shi 	八十	c=1 d=2.08797e-14 t=36939
ba shi ye 	把視野	c=1 d=1.92678e-10 t=36939
ba ta 	把他	c=1 d=0.0550232 t=36939
ba ta 	把它	c=2 d=5.5739e-07 t=36939
ba ta men 	把它們	c=1 d=2.87344e-06 t=36939
ba wei 	八位	c=2 d=3.64997e-06 t=36939
ba wo 	把我	c=1 d=1.84137e-06 t=36939
ba wo 	把握	c=2 d=0.000193545 t=36939
ba zi ji 	把自己	c=1 d=1 t=32581
bai 	佰	c=1 d=1 t=31070
bai 	拜	c=1 d=0.0338776 t=36939
bai 	擺	c=0 d=2.57457e-09 t=36939
bai 	白	c=2 d=8.31529e-07 t=36939
bai 	百	c=1 d=0.00132016 t=36939
bai di 	白底	c=1 d=0.0116203 t=36939
bai du 	百度	c=1 d=1.26926e-11 t=36939
bai du tie ba 	百度貼吧	c=2 d=2.33839e-11 t=36939
bai fa mo nv 	白髮魔女	c=1 d=1.4306e-07 t=36939
bai ge 	白鴿	c=1 d=0.631284 t=36939
bai jia 	百家	c=0 d=3.70996e-13 t=36939
bai jia hao 	百家號	c=1 d=3.72856e-12 t=36939
bai jian 	敗劍	c=1 d=0.214381 t=36939
bai jin zhu yi 	拜金主義	c=1 d=7.10537e-10 t=36939
bai ke 	百科	c=1 d=1 t=31262
bai ling hai xia 	白令海峽	c=2 d=0.0619181 t=36939
bai long 	白龍	c=1 d=1.40227e-07 t=36939
bai niang zi 	白娘子	c=1 d=0.00477195 t=36939
bai pi shu 	白皮書	c=2 d=8.92077e-11 t=36939
bai qiu 	白球	c=2 d=1.99501 t=29335
bai se 	白色	c=1 d=0.188247 t=36939
bai she 	擺設	c=1 d=0.818731 t=36939
bai she 	白蛇	c=1 d=0.822835 t=36939
bai tuo 	擺脫	c=3 d=1.26905e-09 t=36939
bai xian yong 	白先勇	c=3 d=0.069132 t=36939
bai zai 	擺在	c=1 d=0.000157671 t=36939
bai zhe 	敗者	c=1 d=1.08983e-12 t=36939
bai zi 	白字	c=0 d=0.000130703 t=36939
ban 	板	c=1 d=0.179964 t=36939
ban 	版	c=5 d=0.664695 t=36939
ban 	班	c=0 d=0.1 t=31097
ban 	般	c=1 d=1 t=32660
ban ben 	版本	c=17 d=0.889704 t=36939
ban ben yi 	版本一	c=1 d=0.0294518 t=36939
ban chi 	半尺	c=0 d=0.00223708 t=36939
ban chi jian 	半尺劍	c=1 d=0.0224829 t=36939
ban chu lai 	搬出來	c=1 d=3.99687e-06 t=36939
ban fa 	辦法	c=10 d=0.0782481 t=36939
ban hui 	班會	c=1 d=3.79277e-07 t=36939
ban ji 	班級	c=2 d=0.000937961 t=36939
ban jia 	搬家	c=1 d=0.00637737 t=36939
ban jia qi 	半加器	c=3 d=2.4783 t=31540
ban jing 	半徑	c=1 d=0.0668703 t=36939
ban kuai 	板塊	c=2 d=1.06513e-07 t=36939
ban le 	搬了	c=0 d=3.7363e-08 t=36939
ban le guo lai 	搬了過來	c=2 d=0.00265885 t=36939
ban men nong fu 	班門弄斧	c=1 d=0.0689068 t=36939
ban quan 	版權	c=1 d=3.95844e-10 t=36939
ban sui zhe 	伴隨着	c=2 d=0.687289 t=36939
ban tuo fei 	半陀廢	c=2 d=9.96157e-62 t=36939
ban tuo fei 	半駝廢	c=18 d=5.20334 t=36939
ban xiang 	扮相	c=1 d=0.031273 t=36939
ban yan 	扮演	c=1 d=1 t=33969
ban yue 	半月	c=0 d=0.1 t=30687
ban zi 	板子	c=0 d=0.1 t=31395
ban zou 	伴奏	c=0 d=0.00314298 t=36939
bang 	幫	c=1 d=1 t=30604
bang 	邦	c=1 d=0.013912 t=36939
bang ding 	綁定	c=2 d=0.0297484 t=36939
bang pai 	幫派	c=2 d=0.0850771 t=36939
bang qiu 	棒球	c=4 d=0.076923 t=36939
bang qiu dui 	棒球隊	c=2 d=0.00327971 t=36939
bang wan 	傍晚	c=1 d=0.000105163 t=36939
bang wo 	幫我	c=1 d=2.15566e-07 t=36939
bang zhu 	幫助	c=10 d=0.251579 t=36939
bang zhu wen dang 	幫助文檔	c=2 d=0.0071546 t=36939
bang zhu wo 	幫助我	c=1 d=2.22131e-07 t=36939
bao 	包	c=4 d=0.226414 t=36939
bao 	報	c=0 d=0.1 t=30687
bao 	爆	c=1 d=0.00470091 t=36939
bao chi 	保持	c=14 d=0.179091 t=36939
bao chi 	抱持	c=4 d=0.0528568 t=36939
bao chou 	報仇	c=1 d=0.470011 t=36939
bao cun 	保存	c=8 d=0.341301 t=36939
bao cuo 	報錯	c=6 d=0.0115067 t=36939
bao dian 	寶典	c=0 d=1.33688e-05 t=36939
bao fa 	爆發	c=1 d=0.0682212 t=36939
bao fu 	抱負	c=1 d=9.44684e-08 t=36939
bao gao 	報告	c=33 d=0.980218 t=36939
bao guan 	保管	c=1 d=0.0118551 t=36939
bao guan li 	包管理	c=1 d=8.91821e-07 t=36939
bao gui 	寶貴	c=1 d=1 t=34901
bao han 	包含	c=13 d=0.914464 t=36939
bao han le 	包含了	c=1 d=1 t=35185
bao he du 	飽和度	c=1 d=0.000422213 t=36939
bao hu 	保護	c=5 d=0.602102 t=36939
bao jian 	寶鑑	c=1 d=8.4206e-08 t=36939
bao kuo 	包括	c=7 d=0.29671 t=36939
bao kuo zai 	包括在	c=1 d=1.24113e-12 t=36939
bao li 	暴力	c=2 d=5.39661e-06 t=36939
bao liu 	保留	c=5 d=0.101266 t=36939
bao lu 	暴露	c=4 d=0.000229397 t=36939
bao lu chu 	暴露出	c=1 d=0.353455 t=36939
bao lu chu le 	暴露出了	c=2 d=5.76413e-10 t=36939
bao mi 	保密	c=1 d=0.00895987 t=36939
bao qian 	抱歉	c=1 d=0.831104 t=36939
bao quan 	保全	c=0 d=0.000136037 t=36939
bao shou 	保守	c=1 d=0.00522135 t=36939
bao yi ceng 	包一層	c=1 d=1 t=35527
bao you 	保有	c=1 d=0.0550232 t=36939
bao zao 	暴躁	c=1 d=0.000457378 t=36939
bao zhang 	保障	c=2 d=1.87372 t=33877
bao zheng 	保證	c=20 d=0.501576 t=36939
bao zhu 	爆竹	c=1 d=6.81262e-15 t=36939
bao zhuang 	包裝	c=6 d=0.0361528 t=36939
bao zhuang he 	包裝盒	c=1 d=7.67467e-05 t=36939
bei 	倍	c=1 d=4.99244e-05 t=36939
bei 	北	c=3 d=1.82396 t=31706
bei 	唄	c=1 d=0.0934807 t=36939
bei 	盃	c=1 d=0.00112143 t=36939
bei 	被	c=52 d=1.69367 t=36939
bei ai 	悲哀	c=1 d=0.606531 t=36939
bei can 	悲慘	c=2 d=0.178173 t=36939
bei cheng wei 	被稱爲	c=3 d=0.00313978 t=36939
bei cheng zuo 	被稱作	c=1 d=0.00117675 t=36939
bei chu shu 	被除數	c=3 d=0.000171659 t=36939
bei cun zai 	被存在	c=1 d=0.000291637 t=36939
bei fen 	備份	c=2 d=0.000480828 t=36939
bei fen pei 	被分配	c=1 d=1 t=36214
bei fen wei 	被分爲	c=1 d=1 t=36110
bei hai 	北海	c=1 d=0.000359786 t=36939
bei hou 	背後	c=3 d=0.0131675 t=36939
bei jing 	北京	c=9 d=0.00429855 t=36939
bei jing 	背景	c=6 d=0.0812682 t=36939
bei jing shi 	北京市	c=1 d=0.109154 t=36939
bei ju jue 	被拒絕	c=1 d=0.0368832 t=36939
bei li gong 	北理工	c=1 d=1 t=30680
bei pan 	背叛	c=1 d=1.13686e-09 t=36939
bei qiu 	悲秋	c=2 d=0.491644 t=36939
bei shan chu 	被刪除	c=1 d=1 t=35806
bei shi wei 	被視爲	c=0 d=9.46969e-08 t=36939
bei suan dao 	被算到	c=1 d=1.20404e-08 t=36939
bei tan 	悲嘆	c=1 d=0.00882647 t=36939
bei ti 	被踢	c=1 d=0.00516939 t=36939
bei tiao zhan zhe 	被挑戰者	c=2 d=0.890114 t=36939
bei xin 	背心	c=2 d=0.145659 t=36939
bei xuan ze 	被選擇	c=1 d=1.27584e-13 t=36939
bei yan chi 	被延遲	c=1 d=4.43936e-06 t=36939
bei yi qi 	被遺棄	c=0 d=0.00335406 t=36939
bei yi qi zai 	被遺棄在	c=1 d=0.0337087 t=36939
bei yong 	備用	c=1 d=1 t=28638
bei yong 	被用	c=0 d=0.0559898 t=36939
bei yong yu 	被用於	c=2 d=5.77146e-05 t=36939
bei yong zai 	被用在	c=1 d=0.562705 t=36939
bei yu 	北域	c=1 d=1.17695e-05 t=36939
bei yu wei 	被譽爲	c=1 d=3.10578e-09 t=36939
bei zi 	被子	c=2 d=0.0001076 t=36939
bei zu 	被阻	c=1 d=1.2625e-07 t=36939
ben 	本	c=6 d=0.494109 t=36939
ben cao 	本草	c=1 d=2.70004e-09 t=36939
ben ci 	本次	c=2 d=1 t=34691
ben di 	本地	c=5 d=0.0257453 t=36939
ben e 	本惡	c=1 d=0.00134011 t=36939
ben gai 	本該	c=1 d=7.2103e-06 t=36939
ben hang 	本行	c=1 d=0.000555857 t=36939
ben ji 	本機	c=2 d=1.99005 t=30172
ben jin cheng 	本進程	c=3 d=2.68813 t=29575
ben ke cheng 	本課程	c=1 d=0.0380064 t=36939
ben ke sheng 	本科生	c=1 d=4.24402e-06 t=36939
ben lai 	本來	c=6 d=0.102284 t=36939
ben ren 	本人	c=3 d=0.261846 t=36939
ben shan 	本善	c=1 d=0.00138093 t=36939
ben shen 	本身	c=53 d=1.5691 t=36939
ben shi 	本事	c=1 d=1 t=32193
ben shi yan 	本實驗	c=5 d=0.105928 t=36939
ben ti 	本題	c=2 d=0.265803 t=36939
ben ti 	本體	c=1 d=5.6445e-08 t=36939
ben wei 	本位	c=1 d=5.49185e-09 t=36939
ben wu 	本無	c=2 d=0.198891 t=36939
ben xian cheng 	本線程	c=1 d=1 t=36845
ben xiang mu 	本項目	c=1 d=1.10841e-05 t=36939
ben xing 	本性	c=1 d=2.03226e-05 t=36939
ben xing qi dian 	本性奇點	c=1 d=1.87372e-05 t=36939
ben xue qi 	本學期	c=1 d=1 t=36789
ben ying 	本應	c=1 d=2.55511e-07 t=36939
ben zhan 	本站	c=4 d=2.62583 t=36939
ben zhi 	本職	c=1 d=0.0066709 t=36939
ben zhi 	本質	c=8 d=0.00914451 t=36939
ben zhi lun 	本質論	c=1 d=1.05982e-07 t=36939
ben zhu 	笨豬	c=1 d=1 t=32138
beng kui 	崩潰	c=4 d=2.23946 t=35990
bi 	幣	c=0 d=1.16865e-11 t=36939
bi 	比	c=16 d=0.366045 t=36939
bi 	臂	c=0 d=0.00724398 t=36939
bi bei 	必備	c=1 d=0.102797 t=36939
bi bing 	弊病	c=2 d=4.2949e-08 t=36939
bi hai 	碧海	c=1 d=1 t=31800
bi hua 	壁畫	c=1 d=1 t=34680
bi huo 	避火	c=1 d=6.16431e-15 t=36939
bi huo 	避禍	c=1 d=0.000930303 t=36939
bi ji 	筆記	c=6 d=0.0106734 t=36939
bi jiao 	比較	c=54 d=2.11608 t=36939
bi jiao ci shu 	比較次數	c=1 d=0.19593 t=36939
bi jiao da 	比較大	c=1 d=2.08726e-10 t=36939
bi jiao hao 	比較好	c=4 d=0.235746 t=36939
bi jiao qi 	比較器	c=0 d=0.1 t=30571
bi jiao xiao 	比較小	c=1 d=1 t=34575
bi jing 	畢竟	c=22 d=0.843954 t=36939
bi jing zhi lu 	必經之路	c=1 d=3.85009e-07 t=36939
bi li 	比例	c=3 d=0.115962 t=36939
bi li guan xi 	比例關係	c=1 d=5.89006e-09 t=36939
bi li shi heng 	比例失衡	c=1 d=6.77518e-09 t=36939
bi lv 	比率	c=0 d=0.00724398 t=36939
bi lv bi 	比率臂	c=6 d=1.96895 t=36939
bi mian 	避免	c=4 d=0.04573 t=36939
bi mian le 	避免了	c=1 d=0.394554 t=36939
bi mo 	筆墨	c=1 d=9.42245e-07 t=36939
bi mu 	閉幕	c=1 d=0.000227127 t=36939
bi mu 	閉目	c=1 d=0.000228266 t=36939
bi po 	逼迫	c=1 d=1.09802 t=32271
bi po zi ji 	逼迫自己	c=1 d=1 t=32268
bi qi 	比起	c=2 d=0.0575558 t=36939
bi qi lai 	比起來	c=1 d=0.329559 t=36939
bi ran 	必然	c=10 d=0.0497253 t=36939
bi ran shi 	必然是	c=1 d=2.47404e-10 t=36939
bi ru 	比如	c=28 d=0.637788 t=36939
bi ru shuo 	比如說	c=1 d=4.45161e-09 t=36939
bi sai 	比賽	c=27 d=0.0894176 t=36939
bi sai jie guo 	比賽結果	c=1 d=1 t=35074
bi shang 	比上	c=1 d=1 t=33063
bi sheng 	必勝	c=1 d=1.03707 t=35108
bi sheng ce lve 	必勝策略	c=1 d=1 t=35109
bi te 	比特	c=1 d=6.23707e-06 t=36939
bi te bi 	比特幣	c=1 d=1.17451e-10 t=36939
bi xu 	必需	c=1 d=1.37427e-05 t=36939
bi xu 	必須	c=8 d=0.0323944 t=36939
bi xu de 	必須的	c=1 d=1 t=33347
bi xu zai 	必須在	c=1 d=1.22498e-05 t=36939
bi xue jian 	碧血劍	c=1 d=1.2625e-07 t=36939
bi yao 	必要	c=4 d=0.529935 t=36939
bi yao de 	必要的	c=1 d=0.0968105 t=36939
bi yao lao dong 	必要勞動	c=1 d=4.25562e-09 t=36939
bi yao lao dong shi jian 	必要勞動時間	c=2 d=7.69768e-09 t=36939
bi ye 	畢業	c=2 d=1 t=36762
bi ye ji 	畢業季	c=2 d=1.92312 t=33406
bi ye ji nian 	畢業紀念	c=1 d=0.1 t=36718
bi ye ji nian shan 	畢業紀念衫	c=1 d=1 t=36719
bi you 	必有	c=1 d=3.09134e-13 t=36939
bi zhe 	筆者	c=17 d=0.0165231 t=36939
bi zhi 	比之	c=1 d=0.0833256 t=36939
bi zhong 	比重	c=2 d=1.27827e-06 t=36939
bian 	便	c=8 d=0.321457 t=36939
bian 	編	c=2 d=1.52466 t=31307
bian 	變	c=4 d=0.529935 t=36939
bian 	辨	c=1 d=3.10473e-05 t=36939
bian 	辯	c=1 d=3.08924e-05 t=36939
bian 	遍	c=1 d=0.00252883 t=36939
bian 	邊	c=2 d=0.100078 t=36939
bian chang 	變長	c=1 d=1.13647e-05 t=36939
bian cheng 	編程	c=11 d=0.0337345 t=36939
bian cheng 	變成	c=1 d=1 t=32602
bian cheng lang zi 	邊城浪子	c=2 d=3.35935e-05 t=36939
bian cheng le 	變成了	c=2 d=0.00677172 t=36939
bian cheng yu yan 	編程語言	c=1 d=8.06953e-07 t=36939
bian de 	變得	c=1 d=0.733447 t=36939
bian di 	遍地	c=1 d=0.00562801 t=36939
bian dong 	變動	c=1 d=1 t=29148
bian fang qi le 	便放棄了	c=1 d=1 t=34967
bian ge 	變革	c=3 d=5.98551e-10 t=36939
bian hao 	編號	c=4 d=0.000443861 t=36939
bian hua 	變化	c=20 d=2.0863 t=36939
bian ji 	編輯	c=9 d=8.93978e-06 t=36939
bian ji qi 	編輯器	c=4 d=0.882497 t=36939
bian ji wan cheng 	編輯完成	c=1 d=3.9571e-06 t=36939
bian ji zu 	編輯組	c=4 d=2.24014e-07 t=36939
bian jie 	邊界	c=2 d=0.279431 t=36939
bian jie tiao jian 	邊界條件	c=2 d=0.00771183 t=36939
bian jing 	邊境	c=1 d=0.0658748 t=36939
bian ju 	編劇	c=5 d=0.299725 t=36939
bian le 	編了	c=2 d=0.0415857 t=36939
bian li 	遍歷	c=14 d=0.408601 t=36939
bian liang 	變亮	c=2 d=0.000387808 t=36939
bian liang 	變量	c=3 d=0.000385874 t=36939
bian lv 	變率	c=2 d=0.000128823 t=36939
bian ma 	編碼	c=3 d=0.459396 t=36939
bian ma shu 	編碼樹	c=1 d=0.278037 t=36939
bian pi 	鞭辟	c=0 d=4.32902e-05 t=36939
bian pi ru li 	鞭辟入裏	c=1 d=0.000435072 t=36939
bian qian 	變遷	c=1 d=1.60081e-06 t=36939
bian shi 	便是	c=2 d=5.62896e-05 t=36939
bian wei 	變爲	c=3 d=0.0434998 t=36939
bian wei le 	變爲了	c=1 d=0.0699482 t=36939
bian xie 	編寫	c=5 d=1.9062e-05 t=36939
bian xing jin gang 	變形金剛	c=1 d=0.0110536 t=36939
bian yi 	編譯	c=14 d=0.595262 t=36939
bian yi can shu 	編譯參數	c=1 d=1 t=28846
bian yi hao 	編譯好	c=1 d=0.000569928 t=36939
bian yi hou 	編譯後	c=1 d=0.000850233 t=36939
bian yi huan jing 	編譯環境	c=2 d=1.52466 t=28673
bian yi qi 	編譯器	c=10 d=4.07657e-05 t=36939
bian yi qi 	編譯期	c=1 d=1 t=36336
bian yi shi 	編譯時	c=1 d=1 t=36318
bian zheng 	辯證	c=1 d=1 t=33916
bian zhi 	貶值	c=1 d=0.0243554 t=36939
bian zhun 	變準	c=1 d=0.000593188 t=36939
bian zou 	變奏	c=2 d=1.1891 t=36939
biao 	表	c=5 d=0.10026 t=36939
biao bai 	表白	c=2 d=0.206109 t=36939
biao cheng zhi 	標稱值	c=1 d=0.2334 t=36939
biao da 	表達	c=1 d=0.375311 t=36939
biao da shi 	表達式	c=4 d=0.0323869 t=36939
biao dian 	標點	c=2 d=1.99005 t=36939
biao ding 	標定	c=4 d=5.05653e-08 t=36939
biao ge 	表格	c=6 d=0.5106 t=36939
biao mian 	表面	c=1 d=1.68724e-07 t=36939
biao mian shang 	表面上	c=2 d=0.715338 t=36939
biao ming 	表明	c=1 d=1.41271e-06 t=36939
biao qian 	標籤	c=7 d=0.774916 t=36939
biao qian ye 	標籤頁	c=2 d=2.9526e-09 t=36939
biao qing 	表情	c=2 d=0.000495174 t=36939
biao shi 	標識	c=13 d=0.514279 t=36939
biao shi 	表示	c=8 d=0.000283021 t=36939
biao shi fu 	標識符	c=3 d=4.88696e-06 t=36939
biao ti 	標題	c=4 d=3.84943e-05 t=36939
biao xian 	表現	c=20 d=1.56063 t=36939
biao xian biao xian 	表現表現	c=1 d=0.273898 t=36939
biao xian li 	表現力	c=1 d=4.54154e-09 t=36939
biao xiang 	表象	c=1 d=1 t=32816
biao yan 	表演	c=10 d=1.29568 t=36939
biao yan nan du 	表演難度	c=1 d=0.105399 t=36939
biao yan shang 	表演上	c=1 d=0.532592 t=36939
biao yan yi shu jia 	表演藝術家	c=1 d=0.315058 t=36939
biao yan zhe 	表演者	c=1 d=5.55951e-06 t=36939
biao yu 	標語	c=2 d=1.97531 t=36775
biao zheng 	表徵	c=1 d=1.92213e-11 t=36939
biao zhi 	標誌	c=0 d=0.1 t=35669
biao zhi wei 	標誌位	c=2 d=1.956 t=35679
biao zhun 	標準	c=20 d=0.349938 t=36939
biao zhun cha 	標準差	c=1 d=1 t=35567
biao zhun ku 	標準庫	c=3 d=0.000107158 t=36939
biao zhun shu ru 	標準輸入	c=1 d=3.06642e-06 t=36939
bie de 	別的	c=2 d=1.5383e-08 t=36939
bie ming 	別名	c=1 d=2.05122e-11 t=36939
bie ren 	別人	c=6 d=0.00306497 t=36939
bie ren de 	別人的	c=1 d=5.40917e-07 t=36939
bie shan 	別刪	c=1 d=0.00423234 t=36939
bie wang le 	別忘了	c=1 d=8.31529e-07 t=36939
bie wen wo 	別問我	c=1 d=0.0439369 t=36939
bie xiang 	別想	c=1 d=1 t=32098
bie you yi fan 	別有一番	c=1 d=0.826959 t=36939
bing 	並	c=38 d=1.63608 t=36939
bing 	炳	c=1 d=0.00282287 t=36939
bing ba 	並把	c=1 d=0.000567086 t=36939
bing bu 	並不	c=3 d=0.0155297 t=36939
bing bu bian 	並不變	c=2 d=0.0190631 t=36939
bing bu cheng dan 	並不承擔	c=1 d=1 t=34312
bing bu da 	並不大	c=1 d=2.36437e-06 t=36939
bing bu dai you 	並不帶有	c=1 d=6.05583e-12 t=36939
bing bu duo 	並不多	c=1 d=1.35055e-06 t=36939
bing bu fu za 	並不複雜	c=1 d=0.000164106 t=36939
bing bu hao 	並不好	c=1 d=3.40648e-08 t=36939
bing bu hen da 	並不很大	c=1 d=1 t=34794
bing bu hui 	並不會	c=1 d=1 t=35219
bing bu li xiang 	並不理想	c=1 d=1 t=29608
bing bu ming xian 	並不明顯	c=1 d=1 t=29658
bing bu neng 	並不能	c=5 d=0.17552 t=36939
bing bu qing chu 	並不清楚	c=1 d=9.00631e-05 t=36939
bing bu shao 	並不少	c=2 d=1.74826 t=32477
bing bu shi 	並不是	c=12 d=0.161026 t=36939
bing bu shi he 	並不適合	c=1 d=1 t=29630
bing bu zhan shao shu 	並不佔少數	c=1 d=2.43008e-05 t=36939
bing bu zhi 	並不知	c=1 d=1 t=33803
bing cha ji 	並查集	c=1 d=2.66627e-08 t=36939
bing fan hui 	並返回	c=1 d=0.00177315 t=36939
bing fei 	並非	c=1 d=0.00172074 t=36939
bing leng 	冰冷	c=1 d=1 t=31719
bing mei you 	並沒有	c=13 d=0.649406 t=36939
bing mei you shen 	並沒有深	c=1 d=0.000713734 t=36939
bing mie you 	並蔑有	c=1 d=1 t=31615
bing pao chu 	並拋出	c=1 d=1 t=35382
bing qi dai 	並期待	c=1 d=4.12139e-14 t=36939
bing qie 	並且	c=14 d=0.692375 t=36939
bing qie cai yong 	並且採用	c=1 d=1.77834e-08 t=36939
bing qie yong 	並且用	c=1 d=1.12245e-06 t=36939
bing tu 	冰土	c=1 d=0.126186 t=36939
bing wu 	並無	c=1 d=0.429557 t=36939
bing xing 	並行	c=11 d=5.5528 t=30112
bing xing ji suan 	並行計算	c=2 d=1.99501 t=29188
bing xiu fu 	並修復	c=1 d=0.0426384 t=36939
bing yong 	並用	c=2 d=1.00208 t=31513
bing zai 	並在	c=1 d=0.694197 t=36939
bo bo 	薄薄	c=2 d=1.67368 t=31860
bo chang 	波長	c=2 d=0.0644516 t=36939
bo de zhi men 	博德之門	c=3 d=0.011109 t=36939
bo fang 	播放	c=14 d=4.32005e-09 t=36939
bo fang hou 	播放後	c=2 d=3.35131e-14 t=36939
bo fang lie biao 	播放列表	c=5 d=2.84237e-13 t=36939
bo fang qi 	播放器	c=11 d=1.35884 t=31365
bo jing 	脖頸	c=2 d=1.48675 t=32106
bo ke 	博客	c=4 d=4.15233e-06 t=36939
bo ke 	播客	c=1 d=2.38976e-14 t=36939
bo li 	剝離	c=1 d=1 t=31822
bo li 	玻璃	c=1 d=5.62523e-11 t=36939
bo li er xiang xing 	波粒二象性	c=1 d=3.9489e-11 t=36939
bo li pa 	玻璃怕	c=1 d=3.69083e-10 t=36939
bo li pao 	玻璃泡	c=1 d=1.97079e-11 t=36939
bo ruo 	薄弱	c=1 d=4.58718e-09 t=36939
bo song 	泊松	c=2 d=1.98511 t=31913
bo song fen bu 	泊松分佈	c=1 d=1 t=31919
bo wen 	博文	c=2 d=1.99501 t=36805
bo xing 	波形	c=1 d=1 t=34391
bo xue 	剝削	c=1 d=1.88375e-09 t=36939
bo ying 	播映	c=1 d=1 t=31755
bu 	不	c=13 d=0.511876 t=36939
bu 	布	c=1 d=0.00690852 t=36939
bu 	步	c=5 d=0.0182346 t=36939
bu 	部	c=0 d=0.000304273 t=36939
bu an 	不安	c=1 d=0.00191125 t=36939
bu an quan 	不安全	c=4 d=3.72848 t=35939
bu bi 	不必	c=1 d=0.416862 t=36939
