# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	7834
#@/user_id	linusboyle
a 	啊	c=2 d=5.95428e-11 t=7834
ban ji 	班級	c=2 d=0.000937961 t=7834
ban jia 	搬家	c=1 d=0.00637737 t=7834
ban jing 	半徑	c=1 d=1 t=7293
ban sui zhe 	伴隨着	c=1 d=0.687289 t=7834
bang ding 	綁定	c=2 d=0.0297484 t=7834
bang pai 	幫派	c=2 d=0.0850771 t=7834
bang qiu 	棒球	c=2 d=0.076923 t=7834
bang qiu dui 	棒球隊	c=1 d=0.00327971 t=7834
bang zhu 	幫助	c=4 d=0.00544519 t=7834
bang zhu wen dang 	幫助文檔	c=1 d=0.0071546 t=7834
bao 	包	c=2 d=1.71534 t=7429
bao 	爆	c=1 d=1 t=6762
bao chi 	保持	c=2 d=0.0854375 t=7834
bao chi 	抱持	c=3 d=0.0528568 t=7834
bao cun 	保存	c=2 d=2.77629e-05 t=7834
bao fa 	爆發	c=1 d=0.0682212 t=7834
bao gao 	報告	c=7 d=0.929135 t=7834
bao guan 	保管	c=1 d=0.0118551 t=7834
bao han 	包含	c=3 d=0.00281991 t=7834
bao hu 	保護	c=1 d=0.0204453 t=7834
bao kuo 	包括	c=3 d=0.29671 t=7834
bao liu 	保留	c=1 d=6.3019e-10 t=7834
bao lu 	暴露	c=4 d=0.000229397 t=7834
bao lu chu 	暴露出	c=0 d=2.8175e-11 t=7834
bao lu chu le 	暴露出了	c=2 d=5.76413e-10 t=7834
bao mi 	保密	c=1 d=0.00895987 t=7834
bao shou 	保守	c=1 d=0.00522135 t=7834
bao you 	保有	c=1 d=1 t=7254
bao zheng 	保證	c=6 d=0.012658 t=7834
bao zhuang 	包裝	c=2 d=0.000123925 t=7834
bei 	唄	c=1 d=1 t=7360
bei 	盃	c=0 d=0.000321477 t=7834
bei 	被	c=10 d=0.348452 t=7834
bei can 	悲慘	c=1 d=0.0133665 t=7834
bei cheng wei 	被稱爲	c=2 d=0.00313978 t=7834
bei cheng zuo 	被稱作	c=1 d=0.00117675 t=7834
bei fen 	備份	c=1 d=2.0615e-11 t=7834
bei hai 	北海	c=1 d=0.000359786 t=7834
bei hou 	背後	c=2 d=0.0131675 t=7834
bei jing 	北京	c=3 d=0.00429855 t=7834
bei jing 	背景	c=1 d=0.0812682 t=7834
bei jing shi 	北京市	c=1 d=1 t=7391
bei qiu 	悲秋	c=2 d=0.491644 t=7834
bei tiao zhan zhe 	被挑戰者	c=2 d=0.890114 t=7834
bei xin 	背心	c=2 d=0.145659 t=7834
bei yi qi 	被遺棄	c=0 d=0.00335406 t=7834
bei yi qi zai 	被遺棄在	c=1 d=0.0337087 t=7834
bei yong 	被用	c=0 d=0.0559898 t=7834
bei yong yu 	被用於	c=1 d=5.77146e-05 t=7834
bei yong zai 	被用在	c=1 d=0.562705 t=7834
bei zu 	被阻	c=1 d=1.2625e-07 t=7834
ben cao 	本草	c=1 d=2.70004e-09 t=7834
ben di 	本地	c=2 d=1.46301 t=7026
ben ke sheng 	本科生	c=1 d=4.24402e-06 t=7834
ben lai 	本來	c=2 d=9.45161e-06 t=7834
ben ren 	本人	c=1 d=0.00213348 t=7834
ben shen 	本身	c=13 d=1.24406 t=7834
ben wei 	本位	c=1 d=5.49185e-09 t=7834
ben xiang mu 	本項目	c=1 d=1.10841e-05 t=7834
ben zhi 	本職	c=1 d=0.0066709 t=7834
bi 	幣	c=0 d=1.16865e-11 t=7834
bi 	比	c=2 d=0.0202467 t=7834
bi bei 	必備	c=1 d=0.102797 t=7834
bi bing 	弊病	c=2 d=4.2949e-08 t=7834
bi ji 	筆記	c=1 d=0.0106734 t=7834
bi jiao 	比較	c=8 d=0.628493 t=7834
bi jiao hao 	比較好	c=1 d=1 t=7545
bi jing 	畢竟	c=5 d=0.159176 t=7834
bi qi 	比起	c=1 d=0.0575558 t=7834
bi qi lai 	比起來	c=1 d=1 t=7612
bi ran 	必然	c=3 d=0.0242347 t=7834
bi ru 	比如	c=2 d=0.00329615 t=7834
bi te 	比特	c=0 d=1.16865e-11 t=7834
bi te bi 	比特幣	c=1 d=1.17451e-10 t=7834
bi xu 	必須	c=3 d=0.0323944 t=7834
bi xu zai 	必須在	c=1 d=1.22498e-05 t=7834
bi yao de 	必要的	c=1 d=1 t=7367
bi zhe 	筆者	c=17 d=0.0165231 t=7834
bi zhong 	比重	c=1 d=4.08955e-11 t=7834
bian 	便	c=1 d=0.000480828 t=7834
bian 	變	c=2 d=0.529935 t=7834
bian 	遍	c=1 d=1 t=6638
bian chang 	變長	c=1 d=1.13647e-05 t=7834
bian cheng 	編程	c=3 d=0.0337345 t=7834
bian cheng le 	變成了	c=1 d=1 t=6835
bian de 	變得	c=1 d=0.733447 t=7834
bian di 	遍地	c=1 d=0.00562801 t=7834
bian ge 	變革	c=3 d=5.98551e-10 t=7834
bian hao 	編號	c=3 d=0.000113023 t=7834
bian ji 	編輯	c=1 d=8.93978e-06 t=7834
bian ji qi 	編輯器	c=4 d=0.882497 t=7834
bian ji zu 	編輯組	c=2 d=1.32271e-09 t=7834
bian jie 	邊界	c=1 d=1 t=7579
bian jie tiao jian 	邊界條件	c=1 d=1 t=6861
bian jing 	邊境	c=1 d=0.0658748 t=7834
bian ju 	編劇	c=2 d=0.0319048 t=7834
bian li 	遍歷	c=3 d=1.89419 t=7077
bian ma 	編碼	c=1 d=0.0488012 t=7834
bian shi 	便是	c=1 d=1.88831e-08 t=7834
bian wei 	變爲	c=1 d=1 t=7207
bian xing jin gang 	變形金剛	c=1 d=1 t=6933
bian yi 	編譯	c=5 d=0.595262 t=7834
bian yi hao 	編譯好	c=1 d=0.000569928 t=7834
bian yi hou 	編譯後	c=1 d=0.000850233 t=7834
bian yi qi 	編譯器	c=9 d=4.07657e-05 t=7834
bian zou 	變奏	c=2 d=1.1891 t=7834
biao 	表	c=2 d=0.10026 t=7834
biao da shi 	表達式	c=1 d=1 t=7148
biao ding 	標定	c=1 d=5.05653e-08 t=7834
biao ge 	表格	c=2 d=1.20393 t=7122
biao mian 	表面	c=1 d=1.68724e-07 t=7834
biao ming 	表明	c=1 d=1.41271e-06 t=7834
biao qian 	標籤	c=1 d=1 t=7783
biao shi 	標識	c=7 d=0.514279 t=7834
biao shi 	表示	c=1 d=2.53055e-11 t=7834
biao shi fu 	標識符	c=3 d=4.88696e-06 t=7834
biao xian 	表現	c=11 d=0.114022 t=7834
biao xian biao xian 	表現表現	c=1 d=0.273898 t=7834
biao xian li 	表現力	c=1 d=4.54154e-09 t=7834
biao yan 	表演	c=3 d=0.0057417 t=7834
biao yan zhe 	表演者	c=1 d=5.55951e-06 t=7834
biao zhun 	標準	c=5 d=3.07024e-05 t=7834
biao zhun ku 	標準庫	c=2 d=0.000107158 t=7834
biao zhun shu ru 	標準輸入	c=1 d=3.06642e-06 t=7834
bie wen wo 	別問我	c=1 d=1 t=7209
bing 	並	c=8 d=0.0239575 t=7834
bing 	炳	c=1 d=1 t=6660
bing ba 	並把	c=1 d=0.000567086 t=7834
bing bu 	並不	c=2 d=0.0155297 t=7834
bing bu duo 	並不多	c=1 d=1.35055e-06 t=7834
bing bu hao 	並不好	c=1 d=3.40648e-08 t=7834
bing bu shi 	並不是	c=5 d=0.161026 t=7834
bing fan hui 	並返回	c=1 d=1 t=6567
bing mei you 	並沒有	c=2 d=0.0269732 t=7834
bing qie 	並且	c=1 d=0.0575558 t=7834
bing tu 	冰土	c=1 d=0.126186 t=7834
bo de zhi men 	博德之門	c=1 d=1 t=6934
bo fang 	播放	c=1 d=4.32005e-09 t=7834
bo ke 	博客	c=2 d=4.15233e-06 t=7834
bo ruo 	薄弱	c=1 d=4.58718e-09 t=7834
bu 	不	c=0 d=6.3488e-10 t=7834
bu 	步	c=3 d=2.8167 t=6826
bu 	部	c=0 d=0.000304273 t=7834
bu an 	不安	c=1 d=0.00191125 t=7834
bu cuo 	不錯	c=1 d=9.07797e-10 t=7834
bu dai xi 	布袋戲	c=16 d=0.0563792 t=7834
bu de bu 	不得不	c=1 d=1 t=7190
bu ding shi 	不定時	c=1 d=0.000218221 t=7834
bu duan 	不斷	c=4 d=0.311817 t=7834
bu duan 	不短	c=1 d=1 t=7472
bu er zhi 	布爾值	c=1 d=0.524663 t=7834
bu fan hui 	不返回	c=1 d=1.42691e-06 t=7834
bu fang 	不妨	c=2 d=0.895856 t=7834
bu fen 	部分	c=5 d=0.195385 t=7834
bu gao 	不高	c=1 d=1 t=7029
bu gou 	不夠	c=3 d=0.00447423 t=7834
bu guan 	不管	c=3 d=0.0383884 t=7834
bu guan shi 	不管是	c=3 d=6.71861e-09 t=7834
bu guo 	不過	c=29 d=1.36092 t=7834
bu guo shi 	不過是	c=1 d=0.00918669 t=7834
bu he li 	不合理	c=2 d=9.19701e-08 t=7834
bu hui 	不會	c=5 d=0.0121554 t=7834
bu jian 	部件	c=1 d=1.07843e-06 t=7834
bu jin jin 	不僅僅	c=1 d=0.000746586 t=7834
bu ju 	佈局	c=1 d=0.000160856 t=7834
bu ke 	不可	c=1 d=4.88399e-10 t=7834
bu ke cuan gai 	不可篡改	c=1 d=1.45623e-10 t=7834
bu ke jian 	不可見	c=1 d=7.82971e-05 t=7834
bu ke ming zhuang 	不可名狀	c=1 d=0.00216573 t=7834
bu ke neng 	不可能	c=1 d=1.7042e-07 t=7834
bu liao 	不了	c=0 d=1.07047e-08 t=7834
bu lu 	不露	c=1 d=0.105399 t=7834
bu man zu 	不滿足	c=1 d=2.20985e-05 t=7834
bu nan 	不難	c=1 d=1 t=7553
bu neng 	不能	c=10 d=0.0894794 t=7834
bu neng gai 	不能改	c=1 d=0.00123708 t=7834
bu ren tong 	不認同	c=1 d=1.41661e-09 t=7834
bu rong yi 	不容易	c=1 d=0.08291 t=7834
bu ru zheng gui 	步入正軌	c=1 d=0.199888 t=7834
bu ruo 	不弱	c=1 d=0.0380064 t=7834
bu shao 	不少	c=4 d=0.121238 t=7834
bu shi 	不是	c=11 d=0.33969 t=7834
bu shi zhi xu 	不時之需	c=1 d=0.0113334 t=7834
bu shuo le 	不說了	c=1 d=1.30095e-07 t=7834
bu si 	不死	c=0 d=0.00328764 t=7834
bu si zhe 	不死者	c=2 d=0.119767 t=7834
bu suan shi 	不算是	c=1 d=0.00042433 t=7834
bu tai 	不太	c=1 d=1 t=6789
bu tai da 	不太大	c=1 d=1 t=7526
bu tai liao jie 	不太瞭解	c=1 d=2.46765e-09 t=7834
bu tan 	不談	c=3 d=6.71145e-08 t=7834
bu tong 	不同	c=3 d=0.0349094 t=7834
bu xia 	部下	c=1 d=0.0146253 t=7834
bu xiang 	不像	c=1 d=1.67883e-07 t=7834
bu xiang deng 	不相等	c=1 d=3.32181e-06 t=7834
bu xiang guan 	不相關	c=1 d=2.80975e-07 t=7834
bu xiao xin 	不小心	c=1 d=0.0213864 t=7834
bu xu yao 	不需要	c=2 d=0.0478349 t=7834
bu yan er yu 	不言而喻	c=1 d=2.54938e-10 t=7834
bu yao 	不要	c=1 d=0.00360656 t=7834
bu yi ding 	不一定	c=1 d=1 t=6815
bu ying gai 	不應該	c=0 d=5.43628e-08 t=7834
bu ying gai shi 	不應該是	c=1 d=5.46353e-07 t=7834
bu ying xiang 	不影響	c=1 d=6.11357e-06 t=7834
bu yuan yi 	不願意	c=1 d=0.0357931 t=7834
bu yue er tong 	不約而同	c=1 d=2.50537e-11 t=7834
bu zai 	不再	c=3 d=0.0138428 t=7834
bu zai 	不在	c=1 d=4.17146e-09 t=7834
bu zhi 	不知	c=1 d=0.0184074 t=7834
bu zhi chi 	不支持	c=1 d=1 t=7800
bu zhi wei he 	不知爲何	c=1 d=3.59041e-09 t=7834
bu zhuan ye 	不專業	c=3 d=5.97368e-08 t=7834
bu zhuo dao 	捕捉到	c=1 d=0.170333 t=7834
bu zu 	不足	c=5 d=0.00872246 t=7834
bu zu wei ju 	不足爲懼	c=1 d=0.0459593 t=7834
bu zu wei qi 	不足爲奇	c=1 d=0.0645703 t=7834
cai 	才	c=2 d=0.25924 t=7834
cai ce 	猜測	c=2 d=0.399657 t=7834
cai dan 	彩蛋	c=1 d=0.0145524 t=7834
cai dan lan 	菜單欄	c=2 d=0.000227984 t=7834
cai dui 	纔對	c=1 d=1 t=6714
cai fu 	財富	c=1 d=0.0808629 t=7834
cai hui 	纔會	c=1 d=0.0219278 t=7834
cai neng 	才能	c=2 d=0.00286372 t=7834
cai shi 	纔是	c=1 d=1.54628e-10 t=7834
cai yong 	採用	c=1 d=0.000497955 t=7834
cai zi 	才子	c=0 d=0.00257325 t=7834
can 	殘	c=0 d=8.3786e-09 t=7834
can an 	慘案	c=1 d=8.35697e-07 t=7834
can guan le 	參觀了	c=1 d=1.08141e-09 t=7834
can jia 	參加	c=2 d=0.00114696 t=7834
can jia le 	參加了	c=1 d=1.45975e-09 t=7834
can shu 	參數	c=14 d=3.31125 t=7834
can yu 	參與	c=3 d=0.00218661 t=7834
can za 	參雜	c=1 d=2.46128e-08 t=7834
can zhao 	參照	c=1 d=1 t=6955
cang ku 	倉庫	c=1 d=1 t=7422
cang zai 	藏在	c=3 d=0.0289043 t=7834
cao 	槽	c=6 d=0.0890264 t=7834
cao yin 	曹寅	c=2 d=1.56866e-09 t=7834
cao zuo 	操作	c=6 d=0.179989 t=7834
ce 	測	c=1 d=1 t=7830
ce shi 	測試	c=1 d=9.37865e-11 t=7834
ce shi dian 	測試點	c=1 d=1 t=6850
ce suan 	測算	c=1 d=0.0271874 t=7834
ceng mian 	層面	c=1 d=4.57118e-10 t=7834
cha 	差	c=2 d=0.0561348 t=7834
cha bu duo 	差不多	c=1 d=0.404542 t=7834
cha jian 	插件	c=1 d=0.00392653 t=7834
cha kan 	查看	c=1 d=1.00796e-05 t=7834
cha le 	插了	c=0 d=0.00544757 t=7834
cha le yi xie 	插了一些	c=1 d=0.0547488 t=7834
cha ru 	插入	c=4 d=3.21343 t=7537
cha yue 	查閱	c=1 d=0.0146986 t=7834
chan chu 	剷除	c=1 d=0.0605068 t=7834
chan sheng 	產生	c=2 d=0.210136 t=7834
chan ye 	產業	c=2 d=0.00837196 t=7834
chang chang 	常常	c=1 d=0.00251621 t=7834
chang du 	長度	c=3 d=0.0510537 t=7834
chang fang xing 	長方形	c=1 d=0.000131698 t=7834
chang jian 	常見	c=1 d=0.0001441 t=7834
chang jing 	場景	c=1 d=8.7446e-11 t=7834
chang mian 	場面	c=1 d=0.000113922 t=7834
chang pian 	唱片	c=1 d=6.9972e-06 t=7834
chang pian 	長篇	c=2 d=1.47268e-05 t=7834
chang shi 	嘗試	c=6 d=0.024189 t=7834
chang wu 	常務	c=0 d=0.000355074 t=7834
chang wu bu 	常務部	c=1 d=0.00305798 t=7834
chang wu zu 	常務組	c=1 d=0.000510561 t=7834
chang yuan 	長遠	c=1 d=1.62949e-09 t=7834
chao zi ran 	超自然	c=2 d=0.00429404 t=7834
che nei 	車內	c=1 d=0.0109436 t=7834
che shang 	車上	c=3 d=0.356134 t=7834
che xiao 	撤銷	c=1 d=0.900325 t=7834
chen feng 	塵封	c=1 d=2.00507e-08 t=7834
cheng 	城	c=0 d=7.61927e-09 t=7834
cheng 	成	c=3 d=0.0756567 t=7834
cheng 	程	c=3 d=0.994084 t=7834
cheng dao 	稱道	c=1 d=0.00308872 t=7834
cheng du 	成都	c=2 d=0.00616771 t=7834
cheng du 	程度	c=2 d=0.00267181 t=7834
cheng gong 	成功	c=3 d=0.896606 t=7834
cheng le 	成了	c=1 d=0.319819 t=7834
cheng shu 	成熟	c=2 d=0.0561348 t=7834
cheng wei 	成爲	c=1 d=0.0188734 t=7834
cheng wei le 	成爲了	c=1 d=0.0632918 t=7834
cheng xian 	呈現	c=6 d=0.0526021 t=7834
cheng xian chu 	呈現出	c=1 d=6.3488e-09 t=7834
cheng xin 	誠心	c=1 d=0.0322254 t=7834
cheng xu 	程序	c=6 d=0.862877 t=7834
cheng xu she ji 	程序設計	c=4 d=3.0841e-06 t=7834
cheng yi 	誠意	c=1 d=0.119433 t=7834
cheng yuan 	成員	c=3 d=0.00366703 t=7834
chi du 	尺牘	c=1 d=2.03538e-08 t=7834
chi jun 	赤軍	c=1 d=0.400517 t=7834
chi xu 	持續	c=1 d=0.0623495 t=7834
chong die 	重疊	c=1 d=0.000147011 t=7834
chong gou 	重構	c=1 d=1 t=7763
chong hui 	重繪	c=1 d=0.000133688 t=7834
chong ji 	衝擊	c=1 d=2.4192e-11 t=7834
chong shi 	充實	c=1 d=0.000430743 t=7834
chong tu 	衝突	c=2 d=0.128735 t=7834
chong xie 	重寫	c=1 d=0.000150733 t=7834
chong xin 	重新	c=3 d=0.018225 t=7834
chong zai 	重載	c=2 d=0.201899 t=7834
chong zhi 	重置	c=9 d=0.000227867 t=7834
chou lou 	醜陋	c=2 d=0.315076 t=7834
chu 	出	c=4 d=0.0871635 t=7834
chu 	處	c=1 d=3.96869e-11 t=7834
chu 	觸	c=1 d=1 t=7348
chu bu 	初步	c=1 d=1.18325e-09 t=7834
chu ci 	除此	c=1 d=0.110803 t=7834
chu cuo 	出錯	c=1 d=1 t=6641
chu dian shi 	出點事	c=1 d=0.242926 t=7834
chu dui 	出隊	c=1 d=1 t=7000
chu fa 	出發	c=1 d=1 t=6795
chu fa 	觸發	c=3 d=0.755791 t=7834
chu fei 	除非	c=2 d=0.0205478 t=7834
chu jian 	初見	c=0 d=1.6584e-11 t=7834
chu jian chu xing 	初見雛形	c=1 d=1.66671e-10 t=7834
chu kai 	除開	c=1 d=2.15046e-08 t=7834
chu lai 	出來	c=1 d=1 t=7597
chu le 	除了	c=3 d=0.247833 t=7834
chu li 	處理	c=9 d=1.06514 t=7834
chu li zhong 	處理中	c=1 d=0.22313 t=7834
chu pin 	出品	c=2 d=0.000571924 t=7834
chu qian 	出錢	c=1 d=8.13097e-08 t=7834
chu qu 	出去	c=1 d=0.000584356 t=7834
chu shi 	初始	c=2 d=0.000187298 t=7834
chu shi hua 	初始化	c=3 d=0.0107269 t=7834
chu shi zhuang tai 	初始狀態	c=1 d=6.94433e-05 t=7834
chu xian 	出現	c=3 d=0.0699671 t=7834
chu xin 	初心	c=1 d=0.136695 t=7834
chu xing 	雛形	c=0 d=1.6584e-11 t=7834
chu yu 	處於	c=4 d=2.53354e-10 t=7834
chu zhong 	出衆	c=1 d=0.0156076 t=7834
chuan 	傳	c=1 d=0.000208619 t=7834
chuan 	穿	c=2 d=0.147697 t=7834
chuan cheng 	傳承	c=2 d=1.9802 t=7330
chuan di 	傳遞	c=2 d=0.0022317 t=7834
chuan gan qi 	傳感器	c=1 d=1 t=7829
chuan qi 	傳奇	c=1 d=0.00427488 t=7834
chuan ren 	傳人	c=1 d=1.4093e-07 t=7834
chuan ru 	傳入	c=1 d=0.29523 t=7834
chuan shang 	穿上	c=1 d=0.0184074 t=7834
chuan shuo 	傳說	c=1 d=0.013912 t=7834
chuan song 	傳送	c=1 d=0.197899 t=7834
chuan tong 	傳統	c=3 d=2.38751e-05 t=7834
chuan yue 	穿越	c=1 d=0.0247235 t=7834
chuan zhe 	穿着	c=1 d=0.0169075 t=7834
chuang jian 	創建	c=1 d=0.301194 t=7834
chuang kou 	窗口	c=3 d=5.70994e-05 t=7834
chuang shang 	牀上	c=1 d=0.0182243 t=7834
chuang zuo 	創作	c=2 d=0.000563409 t=7834
chun 	純	c=1 d=1 t=7140
chun jing 	純淨	c=1 d=2.52359e-08 t=7834
chun xia qiu dong 	春夏秋冬	c=4 d=0.44194 t=7834
ci 	此	c=7 d=0.4935 t=7834
ci ling 	辭令	c=1 d=0.0291588 t=7834
ci qian 	此前	c=1 d=1.26555e-06 t=7834
ci ren 	此人	c=1 d=1.31403e-07 t=7834
ci shi 	此時	c=1 d=5.05739e-10 t=7834
ci shu 	次數	c=2 d=0.0483156 t=7834
ci wai 	此外	c=2 d=0.290621 t=7834
cong 	從	c=16 d=0.238859 t=7834
cong er 	從而	c=2 d=0.00163197 t=7834
cong geng duo 	從更多	c=1 d=1.85571e-09 t=7834
cong lai 	從來	c=1 d=0.0198411 t=7834
cong ye zhe 	從業者	c=1 d=1.53063e-08 t=7834
cong zhong 	從中	c=1 d=5.35717e-11 t=7834
cu bao 	粗暴	c=1 d=1 t=7053
cuan gai 	篡改	c=0 d=1.44897e-11 t=7834
cui jian 	崔健	c=2 d=1.03096 t=7380
cui sheng 	催生	c=1 d=3.75631e-11 t=7834
cun zhuang 	村莊	c=1 d=0.034562 t=7834
cuo wu 	錯誤	c=4 d=0.783629 t=7834
da 	打	c=0 d=2.99947e-12 t=7834
da a da 	打阿達	c=1 d=3.01451e-11 t=7834
da an 	答案	c=1 d=8.23535e-11 t=7834
da bang qiu 	打棒球	c=1 d=0.00282287 t=7834
da bu 	大部	c=0 d=0.000133343 t=7834
da bu fen 	大部分	c=3 d=0.460735 t=7834
da bu hui 	大部會	c=1 d=0.00134011 t=7834
da cheng 	達成	c=1 d=1.5081e-10 t=7834
da cuo 	打錯	c=0 d=7.01651e-10 t=7834
da cuo fang xiang 	打錯方向	c=1 d=7.05168e-09 t=7834
da dang 	搭檔	c=1 d=7.54217e-06 t=7834
da dao 	達到	c=3 d=0.000765486 t=7834
da di 	大抵	c=1 d=6.23813e-08 t=7834
da duo shu 	大多數	c=1 d=0.0652193 t=7834
da duo shu ren 	大多數人	c=1 d=0.100259 t=7834
da gai 	大概	c=3 d=0.00129457 t=7834
da gai lv 	大概率	c=1 d=0.0407622 t=7834
da gang 	大綱	c=1 d=3.58114e-08 t=7834
da guang 	打光	c=0 d=6.91205e-10 t=7834
da guang fang xiang 	打光方向	c=1 d=6.94669e-09 t=7834
da huo ji 	打火機	c=1 d=0.0152222 t=7834
da jia 	大家	c=3 d=0.123687 t=7834
da kai 	打開	c=1 d=1 t=6599
da lao 	大佬	c=3 d=0.0164913 t=7834
da le 	打了	c=0 d=4.68221e-08 t=7834
da le yi jia 	打了一架	c=1 d=7.21153e-08 t=7834
da le zhe yi jia 	打了這一架	c=1 d=2.37049e-07 t=7834
da le zhe yi jia 	打了這一甲	c=1 d=2.3352e-07 t=7834
da liang 	大量	c=3 d=0.0146385 t=7834
da lve 	大略	c=1 d=9.14398e-07 t=7834
da pei 	搭配	c=1 d=0.767206 t=7834
da pin 	打拼	c=1 d=0.0231676 t=7834
da qi lai 	打起來	c=1 d=1.63738e-07 t=7834
da shi 	大師	c=1 d=0.283654 t=7834
da shi suo wang 	大失所望	c=1 d=0.0639279 t=7834
da suan 	打算	c=2 d=0.0495546 t=7834
da xiao 	大小	c=2 d=0.00351755 t=7834
da xue 	大學	c=1 d=1 t=7281
da xue sheng 	大學生	c=1 d=0.0590129 t=7834
da xue wu li 	大學物理	c=1 d=1 t=7303
da ya 	打壓	c=1 d=6.19099e-07 t=7834
da yi 	大一	c=1 d=0.000626727 t=7834
da yi lin ran 	大義凜然	c=1 d=0.0214936 t=7834
da yin 	打印	c=2 d=1.69769e-05 t=7834
da yin ji 	打印機	c=1 d=1.81834e-05 t=7834
da ying 	答應	c=1 d=0.00516939 t=7834
da yu 	大於	c=1 d=0.000125275 t=7834
da zhi 	大致	c=2 d=0.228779 t=7834
dai bi 	代幣	c=1 d=4.3642e-11 t=7834
dai biao 	代表	c=1 d=0.625002 t=7834
dai bu gong ju 	代步工具	c=1 d=0.00814786 t=7834
dai gei 	帶給	c=1 d=2.37662e-08 t=7834
dai lai 	帶來	c=3 d=0.0792617 t=7834
dai lai le 	帶來了	c=2 d=5.12016e-07 t=7834
dai le 	戴了	c=1 d=0.171187 t=7834
dai ling 	帶領	c=1 d=0.0564161 t=7834
dai ma 	代碼	c=9 d=1.86624 t=7834
dai mo jing 	戴墨鏡	c=0 d=0.00170774 t=7834
dai you 	帶有	c=1 d=0.0096577 t=7834
dai zhe 	帶着	c=3 d=0.342106 t=7834
dai zhe 	戴着	c=1 d=0.0958472 t=7834
dai zhuang 	帶狀	c=1 d=1 t=6808
dai zi xing 	帶資性	c=1 d=1 t=7697
dan 	丹	c=1 d=1 t=7317
dan 	但	c=14 d=0.166734 t=7834
dan bu 	但不	c=0 d=0.0151072 t=7834
dan bu suan 	但不算	c=1 d=0.151829 t=7834
dan chun 	單純	c=2 d=0.399353 t=7834
dan diao 	單調	c=4 d=2.86071 t=7067
dan diao dui lie 	單調隊列	c=2 d=1.65705 t=7021
dan jiu 	單就	c=1 d=7.79331e-09 t=7834
dan kao 	單靠	c=1 d=0.0713613 t=7834
dan ke yi 	但可以	c=1 d=1.60081e-06 t=7834
dan li mo shi 	單例模式	c=1 d=9.42085e-05 t=7834
dan shen 	單身	c=1 d=0.00298248 t=7834
dan sheng 	誕生	c=1 d=1.0417e-10 t=7834
dan shi 	但是	c=7 d=0.372331 t=7834
dan shi ji shang 	但實際上	c=1 d=0.169483 t=7834
dan tiao 	單挑	c=1 d=0.316637 t=7834
dan wu 	耽誤	c=1 d=1.59695e-07 t=7834
dan xia 	彈匣	c=1 d=0.00603608 t=7834
dan ye 	但也	c=1 d=0.000422213 t=7834
dan ye xu 	但也許	c=1 d=0.00179994 t=7834
dan yuan 	但願	c=1 d=0.19593 t=7834
dang 	當	c=2 d=0.287944 t=7834
dang chu 	當初	c=4 d=0.440576 t=7834
